
1s
1s
0s
Run actions/setup-node@v4
Found in cache @ /opt/hostedtoolcache/node/20.20.2/x64
Environment details
3m 28s
Run node check-script.js
=== GitHub Actions 检测开始 ===

📊 分组数: 6
🚫 黑名单: 6 条

📋 待检测IP总数: 1679

[*] 第一阶段(测速)开始: 1679 个IP
    [+] 有效IP: 118.47.225.173:32400  | 延迟: 714ms | 机房: ICN
    [+] 有效IP: 121.150.127.212:37810 | 延迟: 716ms | 机房: ICN
    [+] 有效IP: 14.55.57.154:37810    | 延迟: 612ms | 机房: ICN
    [+] 有效IP: 112.184.13.229:10911  | 延迟: 720ms | 机房: ICN
    [+] 有效IP: 121.147.109.75:12345  | 延迟: 633ms | 机房: ICN
    [+] 有效IP: 112.173.102.47:18000  | 延迟: 607ms | 机房: ICN
    [+] 有效IP: 211.197.136.183:10911 | 延迟: 695ms | 机房: ICN
    [+] 有效IP: 222.116.29.213:23791  | 延迟: 730ms | 机房: ICN
    [+] 有效IP: 121.158.138.217:12000 | 延迟: 646ms | 机房: ICN
    [+] 有效IP: 125.143.196.122:32768 | 延迟: 715ms | 机房: ICN
    [+] 有效IP: 221.150.96.18:10162   | 延迟: 807ms | 机房: ICN
    [+] 有效IP: 221.159.99.35:10332   | 延迟: 710ms | 机房: ICN
    [+] 有效IP: 125.136.32.130:20332  | 延迟: 628ms | 机房: ICN
    [+] 有效IP: 222.104.134.112:10255 | 延迟: 627ms | 机房: ICN
    [+] 有效IP: 112.163.229.82:10909  | 延迟: 913ms | 机房: ICN
    [+] 有效IP: 211.107.139.24:29876  | 延迟: 818ms | 机房: ICN
    [+] 有效IP: 118.41.178.65:32412   | 延迟: 602ms | 机房: ICN
    [+] 有效IP: 119.195.235.198:20005 | 延迟: 808ms | 机房: ICN
    [+] 有效IP: 222.102.151.29:25010  | 延迟: 1300ms | 机房: ICN
    [+] 有效IP: 14.39.13.221:34567    | 延迟: 716ms | 机房: ICN
    [+] 有效IP: 221.166.176.104:10332 | 延迟: 812ms | 机房: ICN
    [+] 有效IP: 59.8.153.65:30303     | 延迟: 804ms | 机房: ICN
    [+] 有效IP: 221.164.149.170:23791 | 延迟: 805ms | 机房: ICN
    [+] 有效IP: 222.113.18.218:16010  | 延迟: 831ms | 机房: ICN
    [+] 有效IP: 118.43.224.52:29876   | 延迟: 1270ms | 机房: ICN
    [+] 有效IP: 169.212.147.126:11427 | 延迟: 634ms | 机房: ICN
    [+] 有效IP: 118.35.234.39:10250   | 延迟: 778ms | 机房: ICN
    [+] 有效IP: 121.146.126.247:18790 | 延迟: 988ms | 机房: ICN
    [+] 有效IP: 125.130.110.69:10005  | 延迟: 808ms | 机房: ICN
    [+] 有效IP: 61.85.76.178:11300    | 延迟: 1806ms | 机房: ICN
    [+] 有效IP: 112.187.59.195:39015  | 延迟: 880ms | 机房: ICN
    [+] 有效IP: 14.41.94.169:29999    | 延迟: 795ms | 机房: ICN
    [+] 有效IP: 59.0.95.106:18246     | 延迟: 710ms | 机房: ICN
    [+] 有效IP: 121.162.29.88:18246   | 延迟: 867ms | 机房: ICN
    [+] 有效IP: 59.30.208.100:23791   | 延迟: 639ms | 机房: ICN
    [+] 有效IP: 183.97.86.58:10255    | 延迟: 815ms | 机房: ICN
    [+] 有效IP: 14.53.207.174:12300   | 延迟: 699ms | 机房: ICN
    [+] 有效IP: 115.21.30.245:22105   | 延迟: 793ms | 机房: ICN
    [+] 有效IP: 118.41.35.191:18001   | 延迟: 805ms | 机房: ICN
    [+] 有效IP: 121.164.204.222:20002 | 延迟: 689ms | 机房: ICN
    [+] 有效IP: 218.156.58.200:32771  | 延迟: 823ms | 机房: ICN
    [+] 有效IP: 125.129.121.13:10162  | 延迟: 621ms | 机房: ICN
    [+] 有效IP: 121.180.171.43:11310  | 延迟: 664ms | 机房: ICN
    [+] 有效IP: 118.39.78.140:11211   | 延迟: 611ms | 机房: ICN
    [+] 有效IP: 211.221.8.71:11300    | 延迟: 821ms | 机房: ICN
    [+] 有效IP: 14.32.205.160:10035   | 延迟: 807ms | 机房: ICN
    [+] 有效IP: 14.32.87.251:12000    | 延迟: 821ms | 机房: ICN
    [+] 有效IP: 175.197.105.20:20002  | 延迟: 1270ms | 机房: ICN
    [+] 有效IP: 218.146.128.115:33089 | 延迟: 797ms | 机房: ICN
    [+] 有效IP: 211.228.207.178:18001 | 延迟: 616ms | 机房: ICN
    [+] 有效IP: 115.22.181.7:10030    | 延迟: 702ms | 机房: ICN
    [+] 有效IP: 175.210.20.37:36014   | 延迟: 615ms | 机房: ICN
    [+] 有效IP: 222.113.18.205:11001  | 延迟: 841ms | 机房: ICN
    [+] 有效IP: 121.164.75.109:20005  | 延迟: 624ms | 机房: ICN
    [+] 有效IP: 121.155.96.19:13579   | 延迟: 842ms | 机房: ICN
    [+] 有效IP: 220.125.240.77:23424  | 延迟: 803ms | 机房: ICN
    [+] 有效IP: 203.251.64.95:16923   | 延迟: 828ms | 机房: ICN
    [+] 有效IP: 121.153.133.83:30001  | 延迟: 1282ms | 机房: ICN
    [+] 有效IP: 118.40.112.188:22222  | 延迟: 731ms | 机房: ICN
    [+] 有效IP: 222.114.198.232:12345 | 延迟: 622ms | 机房: ICN
